epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28361,0.92652,3.58618,1.42485,0.00744,0.9,0.1254,0.04913,0.64203,4.27208,1.48548,1.111e-05,1.111e-05,1.111e-05
2,8.1154,0.8566,3.50725,1.3639,0.00786,1,0.1263,0.05544,0.648,4.23027,1.47879,3.3e-05,3.3e-05,3.3e-05
3,11.8968,0.79529,3.4536,1.32443,0.00743,1,0.12882,0.05842,0.61239,4.16001,1.4119,5.44501e-05,5.44501e-05,5.44501e-05
4,15.6608,0.91245,3.45128,1.33756,0.00704,1,0.18007,0.12629,0.59419,4.10858,1.34798,7.54602e-05,7.54602e-05,7.54602e-05
5,19.4307,0.86119,3.32862,1.33016,0.00676,1,0.23701,0.18208,0.54199,4.03942,1.29478,9.60304e-05,9.60304e-05,9.60304e-05
6,23.0969,0.75606,3.18475,1.30433,0.00644,1,0.29891,0.23325,0.46351,4.00104,1.20667,0.000116161,0.000116161,0.000116161
7,26.7927,0.85247,3.0829,1.3436,0.00651,1,0.36436,0.29336,0.50752,3.98016,1.24845,0.000135851,0.000135851,0.000135851
8,30.4279,0.75075,2.87954,1.21823,0.00698,1,0.38762,0.30199,0.58824,3.96006,1.31003,0.000155101,0.000155101,0.000155101
9,34.0751,0.79666,2.67756,1.30748,0.00772,1,0.36242,0.27809,0.62511,3.9509,1.31862,0.000173911,0.000173911,0.000173911
10,37.725,0.79705,2.61899,1.2738,0.00806,1,0.36667,0.27404,0.64174,3.91228,1.34038,0.000192282,0.000192282,0.000192282
11,41.3483,0.73835,2.43451,1.24614,0.00839,1,0.42593,0.32076,0.70683,3.91202,1.44033,0.000210212,0.000210212,0.000210212
12,45.0166,0.71982,2.37223,1.25805,0.00826,1,0.48417,0.37753,0.74932,3.89883,1.52626,0.000227703,0.000227703,0.000227703
13,48.6845,0.6225,2.35292,1.19162,0.00799,1,0.57542,0.4585,0.67155,3.83367,1.43595,0.000244753,0.000244753,0.000244753
14,52.3449,0.56138,2.04027,1.12923,0.00783,1,0.57226,0.46391,0.63053,3.77614,1.45588,0.000261364,0.000261364,0.000261364
15,56.0193,0.67029,2.2797,1.18243,0.00789,1,0.49893,0.40736,0.65832,3.717,1.43663,0.000277534,0.000277534,0.000277534
16,59.6837,0.59171,2.11256,1.16634,0.00824,1,0.55843,0.48204,0.65114,3.68475,1.39817,0.000293265,0.000293265,0.000293265
17,63.3644,0.61794,2.09985,1.16735,0.00842,1,0.5733,0.49209,0.66862,3.68372,1.40512,0.000308556,0.000308556,0.000308556
18,67.0716,0.73758,2.07831,1.24758,0.00857,1,0.61185,0.52492,0.65194,3.69073,1.34024,0.000323407,0.000323407,0.000323407
19,70.8116,0.59043,1.80651,1.10431,0.00817,1,0.57678,0.50732,0.65949,3.69251,1.33239,0.000337817,0.000337817,0.000337817
20,74.4622,0.71942,1.89292,1.22696,0.00745,1,0.58174,0.50636,0.62614,3.5771,1.26047,0.000351788,0.000351788,0.000351788
21,78.2111,0.72128,1.9851,1.24005,0.00671,1,0.7423,0.61967,0.62807,3.46999,1.26274,0.000365319,0.000365319,0.000365319
22,81.8545,0.73271,1.7562,1.24504,0.9936,0.15,0.86343,0.70854,0.6689,3.2975,1.33389,0.00037841,0.00037841,0.00037841
23,85.484,0.67141,1.81695,1.18476,0.96873,0.25,0.84108,0.67759,0.80123,3.31893,1.49202,0.000391061,0.000391061,0.000391061
24,89.1778,0.92055,1.83466,1.3306,0.93337,0.22889,0.78998,0.60395,0.90949,3.43262,1.57083,0.000403272,0.000403272,0.000403272
25,92.9006,0.75414,1.76752,1.25989,0.91391,0.17461,0.67207,0.56354,0.97805,3.46045,1.61717,0.000415043,0.000415043,0.000415043
26,96.6051,0.68778,1.63613,1.13429,0.90291,0.16667,0.69777,0.56634,0.86013,3.41412,1.5009,0.000426374,0.000426374,0.000426374
27,100.513,0.7422,1.89127,1.17877,0.84632,0.44527,0.75767,0.57017,0.76113,3.27027,1.36774,0.000437265,0.000437265,0.000437265
28,104.122,0.61346,1.61174,1.1442,0.84632,0.44527,0.75767,0.57017,0.76113,3.27027,1.36774,0.000447716,0.000447716,0.000447716
29,107.883,0.64498,1.68456,1.15467,0.89267,0.71448,0.8518,0.70724,0.63925,3.03794,1.22308,0.000457728,0.000457728,0.000457728
30,111.66,0.59622,1.55387,1.14467,0.88107,0.71867,0.86607,0.77688,0.56753,2.93101,1.16859,0.000467299,0.000467299,0.000467299
31,115.47,0.59845,1.73756,1.19933,0.88107,0.71867,0.86607,0.77688,0.56753,2.93101,1.16859,0.00047643,0.00047643,0.00047643
32,119.191,0.61903,1.59933,1.1459,0.79164,0.6168,0.80069,0.73845,0.57723,2.96788,1.13399,0.000485121,0.000485121,0.000485121
33,122.951,0.68361,1.67121,1.1596,0.7595,0.75943,0.86704,0.79614,0.55464,2.91384,1.10047,0.000493373,0.000493373,0.000493373
34,126.706,0.61128,1.49851,1.12914,0.7595,0.75943,0.86704,0.79614,0.55464,2.91384,1.10047,0.000501184,0.000501184,0.000501184
35,130.479,0.60705,1.45824,1.19053,0.63357,0.81667,0.89132,0.78306,0.59593,2.77346,1.13885,0.000508556,0.000508556,0.000508556
36,134.26,0.72806,1.71335,1.28627,0.90539,0.65322,0.92505,0.77589,0.65292,2.55235,1.22671,0.000515487,0.000515487,0.000515487
37,138.079,0.62627,1.47881,1.07489,0.90539,0.65322,0.92505,0.77589,0.65292,2.55235,1.22671,0.000521979,0.000521979,0.000521979
38,141.822,0.64133,1.42776,1.10275,0.66848,0.91715,0.97833,0.80572,0.72535,2.35896,1.42118,0.000528031,0.000528031,0.000528031
39,145.669,0.61533,1.45673,1.09611,0.67883,0.92708,0.985,0.83215,0.74604,2.20857,1.54475,0.000533642,0.000533642,0.000533642
40,149.558,0.55106,1.27606,1.0412,0.67883,0.92708,0.985,0.83215,0.74604,2.20857,1.54475,0.000538814,0.000538814,0.000538814
41,153.461,0.57471,1.41942,1.11248,0.78209,0.8989,0.96167,0.83987,0.60721,2.07859,1.42992,0.000543546,0.000543546,0.000543546
42,157.299,0.62851,1.34868,1.17873,0.85823,0.84715,0.929,0.7852,0.65492,2.23392,1.41712,0.000547837,0.000547837,0.000547837
43,161.033,0.66229,1.26779,1.18324,0.85823,0.84715,0.929,0.7852,0.65492,2.23392,1.41712,0.000551689,0.000551689,0.000551689
44,164.829,0.55922,1.36303,1.08747,0.94211,0.7,0.84328,0.64426,0.69241,2.40927,1.36244,0.000555101,0.000555101,0.000555101
45,168.611,0.61023,1.2463,1.09425,0.94211,0.7,0.84328,0.64426,0.69241,2.40927,1.36244,0.000558073,0.000558073,0.000558073
46,172.356,0.65092,1.34877,1.12459,0.9147,0.7,0.77589,0.6805,0.65338,2.35453,1.25107,0.000560605,0.000560605,0.000560605
47,176.091,0.61375,1.37803,1.05711,0.9147,0.7,0.77589,0.6805,0.65338,2.35453,1.25107,0.000562697,0.000562697,0.000562697
